"Carimbo de data/hora,""Você concorda em participar desta pesquisa?"",""[SV1] Minha empresa compartilha a importância e o valor da proteção tecnológica."",""[SV2] Minha empresa inclui o conceito de proteção tecnológica em suas metas de gestão."",""[SV3] Minha organização está ciente da necessidade de proteção tecnológica."",""[SV4] Minha empresa tem uma cultura organizacional que protege sua tecnologia."",""[SG1] Minha empresa possui uma estratégia de longo prazo para a proteção tecnológica."",""[SG2] Para minha empresa, a proteção tecnológica é uma prioridade estratégica."",""[SG3] Minha empresa possui um plano operacional para execução das ações de proteção tecnológica."",""[SG4] Minha empresa investe um orçamento suficiente para proteger sua tecnologia."",""[SU1] Minha empresa possui uma estrutura organizacional sistemática para proteger sua tecnologia."",""[SU2] Minha empresa possui um departamento encarregado de suas responsabilidades de proteção tecnológica."",""[SU3] Minha empresa possui um gerente encarregado das responsabilidades de proteção tecnológica."",""[SU4] Minha empresa opera e gerencia suas responsabilidades de proteção tecnológica de forma eficiente."",""[SM1] Minha empresa possui os regulamentos relevantes para proteger sua tecnologia."",""[SM2] Minha empresa controla e monitora seus dados técnicos."",""[SM3] Minha empresa usa acordos de confidencialidade e não concorrência para proteger sua tecnologia."",""[SM4] Minha empresa usa recompensas para funcionários que são excelentes em proteger a tecnologia da empresa e aplica diretrizes previstas para aqueles que violam os regulamentos."",""[SF1] Os membros da minha empresa entendem seus papéis e responsabilidades na proteção da tecnologia da empresa."",""[SF2] Os membros da minha empresa aderem estritamente aos regulamentos e diretrizes relevantes para proteger a tecnologia da empresa."",""[SF3] Os membros da minha empresa recebem treinamento relacionado à proteção tecnológica."",""[SF4] Os membros da minha empresa respeitam os gerentes encarregados da proteção tecnológica."",""[SY1] A equipe de gestão da minha empresa tem um alto nível de interesse em proteção tecnológica."",""[SY2] A equipe de gestão da minha empresa reconhece que a proteção tecnológica é importante para as atividades de negócios."",""[SY3] A equipe de gestão da minha empresa apoia ativamente a proteção da tecnologia da empresa."",""[SY4] A equipe de gestão da minha empresa leva a questão da proteção tecnológica em consideração durante os processos de tomada de decisão."",""[SK1] Na minha empresa, a divisão encarregada da proteção da tecnologia tem expertise em proteção tecnológica."",""[SK2] Na minha empresa, os membros do pessoal encarregado da proteção tecnológica têm certificações profissionais."",""[SK3] Na minha empresa, a divisão ou o pessoal encarregado da proteção tecnológica recebe o treinamento profissional relevante."",""[SK4] Minha empresa possui um manual de resposta para a ocorrência de vazamentos de tecnologia."",""[TP1] Minha empresa protege bem a confidencialidade relacionada à tecnologia."",""[TP2] Minha empresa é melhor no gerenciamento de segurança do que outras empresas."",""[TP3] Minha empresa tem menos vazamentos de tecnologia ou incidentes de segurança em comparação com outras empresas."",""[TP4] Minha empresa nunca sofreu grandes danos por vazamentos de tecnologia ou incidentes de segurança."",""Idade (em anos completos)"",""Sexo"",""Setor da organização em que você trabalha (INICIATIVA)"",""Porte da organização (Company Size — variável de controle)"",""Sua função/cargo é predominantemente de"",""Tempo de atuação na organização atual (em anos)"",""Você já recebeu treinamento formal em segurança da informação ou proteção tecnológica?"""
"2026/05/12 10:32:26 AM GMT-3,""Sim, concordo em participar"",""6"",""6"",""5"",""4"",""6"",""3"",""3"",""2"",""6"",""7"",""7"",""6"",""7"",""5"",""4"",""2"",""3"",""2"",""3"",""6"",""2"",""4"",""5"",""5"",""7"",""6"",""5"",""4"",""5"",""4"",""3"",""2"",""36"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""11"",""Não"""
"2026/05/12 10:36:11 AM GMT-3,""Sim, concordo em participar"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""3"",""7"",""6"",""7"",""7"",""7"",""7"",""6"",""6"",""7"",""4"",""7"",""7"",""7"",""5"",""6"",""7"",""24"",""Masculino"",""Privada"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""0"",""Sim"""
"2026/05/12 10:39:19 AM GMT-3,""Sim, concordo em participar"",""7"",""7"",""7"",""6"",""6"",""7"",""6"",""6"",""6"",""4"",""6"",""6"",""5"",""5"",""6"",""4"",""5"",""4"",""4"",""7"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""6"",""23"",""Masculino"",""Privada"",""Média (50 a 249)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""1 "",""Não"""
"2026/05/12 10:39:49 AM GMT-3,""Sim, concordo em participar"",""6"",""5"",""7"",""6"",""5"",""5"",""6"",""4"",""5"",""5"",""6"",""4"",""5"",""5"",""6"",""1"",""2"",""2"",""6"",""5"",""7"",""7"",""6"",""6"",""4"",""4"",""4"",""1"",""6"",""4"",""4"",""1"",""27"",""Masculino"",""Privada"",""Média (50 a 249)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""0"",""Sim"""
"2026/05/12 10:47:29 AM GMT-3,""Sim, concordo em participar"",""7"",""7"",""6"",""5"",""5"",""5"",""6"",""4"",""5"",""7"",""7"",""6"",""6"",""5"",""6"",""1"",""4"",""3"",""5"",""2"",""4"",""3"",""4"",""5"",""6"",""5"",""5"",""5"",""4"",""4"",""5"",""6"",""44"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""19"",""Sim"""
"2026/05/12 10:53:32 AM GMT-3,""Sim, concordo em participar"",""5"",""4"",""5"",""4"",""5"",""4"",""5"",""4"",""4"",""5"",""5"",""5"",""5"",""5"",""5"",""3"",""3"",""3"",""3"",""4"",""5"",""5"",""5"",""5"",""5"",""5"",""5"",""3"",""4"",""2"",""5"",""2"",""50"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""27"",""Não"""
"2026/05/12 10:53:53 AM GMT-3,""Sim, concordo em participar"",""4"",""4"",""4"",""4"",""4"",""3"",""4"",""2"",""3"",""3"",""3"",""4"",""4"",""4"",""5"",""1"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""47"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""14"",""Não"""
"2026/05/12 10:58:39 AM GMT-3,""Sim, concordo em participar"",""5"",""5"",""6"",""6"",""4"",""5"",""4"",""4"",""6"",""7"",""7"",""6"",""5"",""5"",""4"",""5"",""5"",""5"",""5"",""4"",""5"",""5"",""4"",""4"",""6"",""4"",""4"",""4"",""5"",""5"",""6"",""5"",""48"",""Feminino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""24"",""Sim"""
"2026/05/12 10:58:51 AM GMT-3,""Sim, concordo em participar"",""4"",""4"",""5"",""4"",""3"",""4"",""4"",""7"",""6"",""5"",""5"",""3"",""5"",""4"",""1"",""1"",""1"",""3"",""1"",""6"",""5"",""5"",""5"",""6"",""3"",""3"",""6"",""2"",""3"",""1"",""5"",""2"",""55"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Coordenação/supervisão"",""18"",""Sim"""
"2026/05/12 11:02:52 AM GMT-3,""Sim, concordo em participar"",""6"",""6"",""7"",""6"",""5"",""6"",""6"",""5"",""5"",""6"",""5"",""5"",""4"",""4"",""5"",""1"",""4"",""5"",""4"",""5"",""5"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""5"",""5"",""4"",""1"",""38"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""2"",""Não"""
"2026/05/12 11:12:25 AM GMT-3,""Sim, concordo em participar"",""5"",""5"",""5"",""4"",""3"",""3"",""2"",""2"",""3"",""2"",""2"",""2"",""3"",""3"",""7"",""4"",""6"",""5"",""2"",""4"",""2"",""5"",""4"",""3"",""1"",""1"",""1"",""1"",""4"",""2"",""4"",""1"",""40"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""1"",""Não"""
"2026/05/12 11:19:44 AM GMT-3,""Sim, concordo em participar"",""7"",""6"",""6"",""6"",""7"",""7"",""6"",""5"",""6"",""7"",""7"",""6"",""6"",""7"",""6"",""4"",""7"",""6"",""5"",""6"",""7"",""7"",""7"",""7"",""6"",""4"",""4"",""4"",""7"",""6"",""5"",""4"",""42"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Gerência"",""1"",""Sim"""
"2026/05/12 11:22:06 AM GMT-3,""Sim, concordo em participar"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""4"",""6"",""6"",""6"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""7"",""30"",""Feminino"",""Privada"",""Média (50 a 249)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""2"",""Sim"""
"2026/05/12 12:03:22 PM GMT-3,""Sim, concordo em participar"",""7"",""6"",""7"",""6"",""7"",""7"",""6"",""5"",""6"",""5"",""5"",""5"",""7"",""6"",""7"",""4"",""7"",""6"",""4"",""5"",""7"",""7"",""7"",""7"",""6"",""6"",""5"",""4"",""6"",""4"",""6"",""6"",""34"",""Feminino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""1"",""Não"""
"2026/05/12 12:17:01 PM GMT-3,""Sim, concordo em participar"",""7"",""7"",""7"",""7"",""6"",""7"",""7"",""4"",""6"",""5"",""7"",""6"",""7"",""7"",""7"",""4"",""5"",""6"",""3"",""7"",""7"",""7"",""7"",""7"",""7"",""6"",""7"",""7"",""7"",""6"",""4"",""6"",""30"",""Prefiro não informar"",""Pública"",""Pequena (10 a 49)"",""Coordenação/supervisão"",""0"",""Não"""
"2026/05/12 12:35:56 PM GMT-3,""Sim, concordo em participar"",""3"",""5"",""6"",""5"",""6"",""3"",""2"",""5"",""3"",""6"",""6"",""3"",""3"",""4"",""4"",""1"",""6"",""3"",""3"",""5"",""6"",""7"",""4"",""4"",""7"",""4"",""5"",""4"",""6"",""3"",""3"",""1"",""42"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""16"",""Não"""
"2026/05/12 1:11:32 PM GMT-3,""Sim, concordo em participar"",""5"",""5"",""6"",""6"",""5"",""5"",""6"",""4"",""6"",""6"",""6"",""6"",""5"",""5"",""4"",""1"",""4"",""4"",""3"",""4"",""5"",""4"",""4"",""4"",""6"",""5"",""6"",""4"",""4"",""3"",""6"",""4"",""41"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""20"",""Sim"""
"2026/05/12 1:36:16 PM GMT-3,""Sim, concordo em participar"",""7"",""6"",""7"",""3"",""4"",""3"",""4"",""3"",""2"",""1"",""1"",""6"",""4"",""4"",""7"",""1"",""1"",""1"",""1"",""2"",""2"",""6"",""5"",""5"",""1"",""3"",""3"",""1"",""3"",""1"",""5"",""1"",""23"",""Masculino"",""Privada"",""Média (50 a 249)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""5"",""Não"""
"2026/05/12 1:37:51 PM GMT-3,""Sim, concordo em participar"",""6"",""6"",""7"",""5"",""6"",""4"",""6"",""4"",""6"",""7"",""7"",""6"",""6"",""5"",""4"",""1"",""5"",""4"",""5"",""6"",""6"",""6"",""5"",""5"",""6"",""5"",""5"",""5"",""5"",""4"",""6"",""5"",""42"",""Masculino"",""Pública"",""Grande (250 ou mais)"",""Coordenação/supervisão"",""19"",""Sim"""
"2026/05/12 1:39:37 PM GMT-3,""Sim, concordo em participar"",""6"",""4"",""7"",""5"",""5"",""3"",""3"",""3"",""1"",""1"",""5"",""2"",""4"",""5"",""7"",""2"",""6"",""4"",""2"",""6"",""5"",""6"",""6"",""5"",""3"",""3"",""1"",""1"",""6"",""1"",""6"",""3"",""37"",""Masculino"",""Privada"",""Média (50 a 249)"",""Coordenação/supervisão"",""12"",""Não"""
"2026/05/12 1:43:25 PM GMT-3,""Sim, concordo em participar"",""6"",""6"",""7"",""5"",""5"",""6"",""4"",""5"",""6"",""7"",""7"",""6"",""4"",""6"",""5"",""1"",""5"",""3"",""5"",""5"",""4"",""6"",""5"",""5"",""6"",""5"",""6"",""5"",""5"",""4"",""4"",""4"",""27"",""Feminino"",""Privada"",""Média (50 a 249)"",""Operacional/técnica (analista, desenvolvedor, técnico)"",""4"",""Sim"""
